PREGUNTA,RESPUESTA_A,RESPUESTA_B,RESPUESTA_C,RESPUESTA_D,RESPUESTA_CORRECTA,BLOQUE,AUTOR,PROMOCION,ANNO_CREACION,OBSERVACIONES,NUMERO_TEST,NUMERO_PREGUNTA,ID,TEMAS,REVISADA,ESTADO,REVISOR,SENTENCIA,,EXAMEN,ESTADO,,
Indique quién propone al candidato para el cargo de Presidente de la Comisión Europea:,El Consejo Europeo.,El Consejo de la Unión Europea.,Los miembros de la Comisión Europea.,El Parlamento Europeo.,A,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
Indique a quién corresponde la función de ejecutar el presupuesto de la Unión Europea:,Al Consejo Europeo.,Al Consejo de la Unión Europea.,A la Comisión Europea.,Al Parlamento Europeo.,C,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
El Colegio de Comisarios se reúne:,Una vez por semana.,Una vez al mes.,Dos veces en semana.,"Cuando lo acuerde el Presidente de la Comisión, y además una vez al mes.",A,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
El Consejo de la Unión Europea de reunirá por:,"Convocatoria de su Presidente, a iniciativa de éste, de dos de sus miembros o de la Comisión.","Convocatoria de su Presidente, a iniciativa de éste, de uno de sus miembros o de la Comisión.","Convocatoria de su Presidente, a iniciativa de éste, de tres de sus miembros o de la Comisión.","Convocatoria de su Presidente, a iniciativa de éste, de uno de sus miembros o de la Comisión o el Parlamento.",B,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
"Habrá quórum en el Parlamento Europeo, cuando se encuentre reunida en el salón de sesiones:",La cuarta parte de los Diputados que integran el Parlamento.,La quinta parte de los Diputados que integran el Parlamento.,La mitad de los Diputados que integran el Parlamento.,La tercera parte de los Diputados que integran el Parlamento.,D,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
"El personal de la Comisión se organiza en departamentos, conocidos como:",Consejos y Servicios.,Servicios permanentes y no permanentes.,Direcciones Generales.,Direcciones ministeriales.,C,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
Señale la afirmación correcta en relación a la Comisión Europea:,"El Presidente de la Comisión, con la aprobación de la Comisión, puede exigir la dimisión de un Comisario.",La Comisión por mayoría de dos tercios de sus miembros puede exigir la dimisión de un Comisario.,"El Presidente, sin necesidad de contar con la Comisión, puede exigir la dimisión de un Comisario.",Únicamente el Presidente del Consejo puede exigir la dimisión de un Comisario.,A,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
Indique a quién corresponde la función de velar por que se apliquen los Tratados y las medidas adoptadas por las Instituciones en virtud de éstos:,Al Consejo Europeo.,Al Consejo de la Unión Europea.,A la Comisión Europea.,Al Parlamento Europeo.,C,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
Indique el número de Diputados del Parlamento Europeo que actualmente le corresponden a España:,Cincuenta y cuatro.,Cincuenta.,Cincuenta y cinco.,Cincuenta y dos.,A,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,CORREGIDA,,
El Tribunal de Justicia está formado por:,Un Juez de cada Estado miembro.,Por dos Jueces de cada Estado miembro.,Por veinte Jueces.,Por ocho Jueces.,A,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
Los Jueces y Abogados Generales del Tribunal de Justicia de la Unión Europea son nombrados para un período de:,Tres años.,Cuatro años.,Cinco años.,Seis años.,D,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
El Presidente del Tribunal de Justicia de la Unión Europea es nombrado para un período de:,Tres años.,Cuatro años.,Cinco años.,Seis años.,A,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
Indique el número mínimo de Diputados necesario para constituir un Grupo Político en el Parlamento Europeo:,Veinticinco.,Veintiuno.,Dieciocho.,Diecinueve.,A,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
La Mesa del Parlamento europeo estará compuesta por:,"El Presidente, doce Vicepresidentes y los Cuestores.","El Presidente, diez Vicepresidentes y los Cuestores.","El Presidente, dos Vicepresidentes y los Cuestores.","El Presidente, catorce Vicepresidentes y los Cuestores.",D,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,CORREGIDA,,
La idea de una Europa unida tiene sus antecedentes en el siglo:,X.,XIX.,XV.,XIII.,B,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
El principal órgano decisorio de la Comunidad Europea es:,El Presidente del Consejo Europeo.,La Comisión.,El Consejo.,El Parlamento Europeo.,C,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
Si el Consejo en algún acuerdo necesita de mayoría cualificada se produce:,Acuerdos cualificados.,Acuerdos ponderados.,Valoración de los votos.,Ponderación de los votos.,D,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
¿Cuáles son las funciones de la Conferencia para Asuntos Relacionados con las Comunidades Europeas?:,Garantizar el cumplimiento en las Conferencias Sectoriales de los procedimientos y fórmulas de participación de las Comunidades Autónomas.,El tratamiento y resolución con arreglo al principio de cooperación de aquellas cuestiones de alcance general o contenido institucional relacionadas con las Comunidades Europeas.,Todas son correctas.,Información a las Comunidades Autónomas y la discusión en común sobre el desarrollo del proceso de constitución europea.,C,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
"Tras el tratado de Niza, ¿cuántos eurodiputados son elegidos en el Estado español?:",90,50,64,60,B,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
¿Cuándo son de aplicación los tratados internacionales?:,Al día siguiente de su ratificación por el Congreso de los Diputados.,Al día siguiente de su firma por los Ministros plenipotenciarios.,El mismo día de la firma por los Ministros plenipotenciarios.,No serán de aplicación directa hasta que formen parte del ordenamiento mediante su publicación en el BOE.,D,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
Están legitimados para interponer el recurso de carencia del art. 175 TCE:,Las instituciones comunitarias.,Los Estados miembros y las instituciones comunitarias.,Los Estados miembros.,Los nacionales de los Estados miembros.,B,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
"En el ámbito de la Unión Europea, las recomendaciones son:",Sugerencias de las Instituciones comunitarias a los Estados miembros para que actúen en un determinado sentido en relación con materias concretas.,Ninguna de las respuestas es correcta.,Sugerencias de los Estados miembros a las Instituciones comunitarias para que actúen en un determinado sentido en relación con materias concretas.,"Sugerencias de las Instituciones comunitarias a los Estados miembros para que actúen en un determinado sentido en relación con materia económica, exclusivamente.",A,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
"Un diputado del Parlamento Europeo, de nacionalidad española, ¿puede ser también Diputado en el Congreso español?:","Son compatibles, lo que no puede compatibilizar es ser funcionario de cualquiera de las Instituciones Europeas.","Son compatibles, lo que no puede compatibilizar es ser miembro del Tribunal de Justicia de Luxemburgo.",Son incompatibles ambas actas de diputado.,Son perfectamente compatibles ambas actas de diputado.,C,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
El Tribunal de Justicia Europeo funcionó como instancia única hasta:,Diciembre de 1987.,Septiembre de 1989.,Octubre de 1990.,Noviembre de 1980.,B,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
¿De cuántos diputados se compone el Parlamento Europeo?:,732,626,751,360,C,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,CORREGIDA,,
"En el Consejo de Europa cada Estado miembro tiene una delegación nacional en Bruselas conocida como órgano de apoyo, denominado:",CO.PER.,COMPER.,CO.RE.PER.,CO.PE.RRE.,C,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
La presidencia del Consejo se ejerce de forma rotatoria cada:,4 meses según un orden fijado por unanimidad del Consejo.,6 meses según un orden fijado por unanimidad del Consejo.,4 meses según un orden fijado por mayoría cualificada del Consejo.,6 meses según un orden fijado por mayoría cualificada del Consejo.,B,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
En el ámbito de las relaciones internacionales de la Comunidad Europea con terceros países:,El Consejo negocia los tratados internacionales y la Comisión los aprueba.,La Comisión negocia los tratados internacionales y el Parlamento Europeo los sanciona.,La Comisión negocia los tratados internacionales y el Consejo los aprueba.,Un número indeterminado de diputados europeos negocia ios tratados internacionales y la Comisión los aprueba.,C,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
"Tras la cuarta ampliación de la Unión (Austria, Suecia y Finlandia), el número total de diputados se estableció en:",623,649,626,565,C,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
La moción de censura contra la Comisión existe desde:,El Tratado de Maastrich.,El Tratado de Amsterdam.,El Tratado de París.,El Tratado de Roma.,D,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
¿Cuál es el número mínimo de parlamentarios de cinco Estados miembros para constituir un grupo político?:,23,25,14,18,B,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,CORREGIDA,,
Al ingreso de España en la Unión Europea ¿cuántos eurodiputados componen el Parlamento?:,Pasó de 518 a 626.,Pasó de 434 a 518.,Pasó de 345 a 512.,Pasó de 435 a 610.,B,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
El procedimiento de dictamen simple o dictamen consultivo significa que:,El Consejo debe obtener la aprobación del Parlamento Europeo para que se tomen determinadas decisiones de primera importancia.,"Por el que se da poder al Parlamento Europeo para una mayor posibilidad de influir sobre el proceso legislativo mediante una ""doble lectura"" de las propuestas legislativas de la Comisión.",Por el que se da poder al Parlamento Europeo para aprobar disposiciones conjuntamente con el Consejo.,El Consejo consulte al Parlamento Europeo y tome sus puntos de vista en consideración.,D,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
La duración del mandato de un diputado del Parlamento Europeo es de:,25 diputados lo son con carácter vitalicio y el resto se renueva cada cinco años.,"Cuatro años, como un diputado español.",Cinco años.,Ninguna es correcta.,C,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
La Comisión Europea está integrada por:,18 miembros.,Ninguna es correcta.,22 miembros.,21 miembros.,B,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
¿En qué fecha nació la Unión Europea?:,El 1 de noviembre de 1994.,El 1 de noviembre de 1992.,El 1 de noviembre de 1995.,El 1 de noviembre de 1993.,D,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
El Tratado de París que crea la Comunidad Europea del Carbón y del Acero entró en vigor:,El 23 de julio de 1952.,El 18 de abril de 1951.,El 16 de abril de 1948.,d)Ninguna de las respuestas son correctas.,A,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
"En la Unión Europea, el Consejo de Ministros se reunirá periódicamente en Bruselas por convocatoria de:","Su Presidente, a iniciativa de éste.",Uno de sus miembros.,La Comisión.,Todas las respuestas son correctas.,D,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
La sede del Parlamento Europeo se encuentra en:,"En Estrasburgo, aunque celebra algunas sesiones en Bruselas.","En Estrasburgo, aunque celebra algunas sesiones en Bruselas y la Secretaría del Parlamento tiene su sede en Luxemburgo.",La Secretaría del Parlamento tiene su sede en Luxemburgo.,Celebra todas sus sesiones en Bruselas.,B,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
La Comisión está compuesta por:,"27 miembros, nacionales de los Estados comunitarios.","20 miembros, sin que el número de los componentes en posesión de la nacionalidad de un mismo Estado pueda ser superior a 3.","25 miembros, nacionales de los Estados comunitarios.","d)22 miembros, sin que el número de los componentes en posesión de la nacionalidad de un mismo Estado pueda ser superior a 3.",A,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
"El buen funcionamiento de la Unión Europea recae, entre otras instituciones, en:",El Parlamento Europeo.,Todas las respuestas son correctas.,La Comisión Europea.,El Consejo de la Unión Europea.,B,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
El Tribunal de Justicia Europeo está compuesto por:,Veinticinco Jueces y nueve Abogados Generales.,Veintisiete Jueces y veintisiete Abogados Generales.,Veintiocho Jueces y ocho Abogados Generales.,Veinticinco Jueces y siete Abogados Generales.,C,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,CORREGIDA,,
"En el marco de la Unión Europea, los dictámenes:",Son vinculantes solamente.,"No son vinculantes, ya que su contenido no obliga a aquéllos a los que van dirigidos.",Son preceptivos y vinculantes.,Son preceptivos y no vinculantes.,B,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
Señale la respuesta correcta respecto a las directivas comunitarias:,No se aplican directamente en los Estados.,No son vinculantes.,Habitualmente se dictan sobre materias que son competencias exclusivas de la Unión Europea.,Tienen alcance general.,A,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
Señale cuál de las siguientes afirmaciones no es correcta:,"a)La Unión Europea no es aún una estructura acabada, sino más bien un sistema de gestación cuya apariencia definitiva aún no puede preverse.",b) La Unión Europea no es un proceso de integración sino una Organización Internacional sui generis.,c) Todas las respuestas son correctas.,d)La Unión Europea sólo tiene en común con las organizaciones tradicionales de derecho internacional que también han sido creadas mediante un tratado internacional.,B,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
Los Reglamentos no se caracterizan por:,Ser de aplicación directa a los Estados miembros.,Todas son características de los Reglamentos.,Ser obligatorios.,No poseer alcance general.,D,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
La Presidencia del Consejo de la Unión Europea...,Cambia cada seis meses,Cambia cada año,Es elegida por el Parlamento Europeo,"Es inexistente,es decir, no existe la Presidencia de la Unión Europea",A,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
¿Con otra expresión más familiar es comúnmente conocido el Consejo de la Unión Europea?,Parlamento Europeo,Consejo de Jefes de Estado,Consejo de Jefes de Estado y de Gobierno,Consejo de Ministros,D,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
¿Cómo se llaman las oficinas de la Unión Europea en dónde se difunde información referente a la actividad del Parlamento Europeo?,Euro-Info-Point,Point-Euro-Info,Euro-Point-Info,Point-Info-Euro,A,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
¿Qué país entró a formar parte de la Unión Europea el mismo año en que formalizó su adhesión nuestro país?,Grecia,Portugal,Las alternativas a) y b) son correctas,Ninguno,B,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
El Parlamento Europeo está compuesto actualmente por:,786 Diputados como máximo.,600 Diputados como máximo.,650 Diputados como máximo.,732 Diputados como máximo.,A,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
¿Qué institución encarna por excelencia los intereses comunitarios?:,El Consejo Europeo.,El Parlamento Europeo.,El Consejo.,La Comisión.,D,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
Los Reglamentos no se caracterizan por:,No poseer alcance general.,Ser obligatorios.,Todas son características de los Reglamentos.,Ser de aplicación directa a los Estados miembros.,A,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
¿En qué fecha entró en vigor el Tratado de Amsterdam?:,El 1 de junio de 1999.,El 1 de mayo de 1999.,El 1 de abril de 1999.,El 1 de marzo de 1999.,B,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
Las decisiones de la Comisión se adoptarán por:,Unanimidad y mayoría simple.,Unanimidad.,Mayoría cualificada.,Mayoría simple.,D,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
Para constituir un Grupo en el Parlamento Europeo es necesario al menos:,25 parlamentarios.,29 parlamentarios.,18 parlamentarios.,23 parlamentarios.,A,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,CORREGIDA,,
Es una función del Presidente del Parlamento Europeo:,Presentar la moción de censura.,Presidir las sesiones del Parlamento.,Organizar la Secretaría General.,Preparar las actividades de las Comisiones.,B,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
Los Reglamentos comunitarios equivalen a lo que en un ordenamiento interno es:,Un Reglamento.,Un Decreto.,Una Ley.,Un Real-Decreto.,C,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
"En el marco de la Unión Europea, las decisiones:",Son actos individuales no normativos.,Poseen alcance general.,Son actos normativos.,No son obligatorias.,A,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
Establecer la interpretación adecuada de los Tratados de la Unión Europea y las normas de derecho derivado es el objeto de:,Un recurso de incumplimiento.,Recurso de carencia.,Cuestión o incidente prejudicial.,Ninguna es correcta.,C,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
¿En qué año se adhirió España a la Comunidad Europea?:,En 1988.,En 1981.,En 1982.,En 1986.,D,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
¿Qué instituciones comparten las tareas legislativas en la Comunidad Europea?:,El Parlamento y el Consejo.,El Parlamento y la Comisión.,"El Parlamento, la Comisión y el Consejo.",La Comisión y el Consejo.,C,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
¿Cuántos Abogados Generales asisten al Tribunal Superior de Justicia?:,Nueve.,Diez.,Siete.,Ocho.,D,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
Las instituciones de la Unión Europea son:,"El Consejo, la Comisión, el Parlamento y el Tribunal de Justicia.","El Consejo, el Parlamento y el Tribunal de Justicia.","El Consejo, el Parlamento y la Comisión.","El Consejo, la Comisión, el Parlamento Europeo, el Tribunal de Justicia y el Tribunal de Cuentas.",D,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
Las relaciones entre el Derecho Comunitario y el Derecho nacional se caracterizan por:,"Complementariedad, por tratarse de un ordenamiento para los Estados miembros.","Primacía del Derecho Comunitario, puesto que se impone a los Estados miembros.",Autonomía del Derecho Comunitario frente al nacional.,Todas las respuestas son correctas.,D,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
El Defensor del Pueblo Europeo puede ser consultado por:,Personas con residencia en la Unión pero sólo personas físicas.,Personas con nacionalidad europea.,Personas con nacionalidad y países asociados.,Toda persona física (ciudadanos) o jurídica (instituciones o empresas) que residan en la Unión.,D,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
Es un elemento característico de la naturaleza jurídica de la Unión Europea:,Tener una estructura institucional.,El establecimiento de un Ordenamiento jurídico propio.,La transferencia de competencias a las instituciones comunitarias.,Todas las respuestas son correctas.,D,BL,LGD,PREPARATIC24,2016,Unión Europea,,,,5,,,,,,,,,
"Usted, como directivo TIC de la AGE, decide crear un portal web, con una dirección electrónica nueva, con el objetivo de informar al ciudadano sobre determinados aspectos relacionados con su unidad. ¿Cuál de los siguientes tipos de certificado utilizaría para identificar a los servidores de su portal informativo?",Sello electrónico,Sede electrónica,Servidor seguro (SSL/TLS),Empleado público,C,BL,A.deGrado,PREPARATIC24,2016,AGE A1 2015,,,11816,7,,,,,,AGE A1 2015,,,11816
"La Ley 11/2007, de 22 de junio, de acceso electrónico de los ciudadanos a los servicios públicos, NO estableció como derecho de los ciudadanos, el derecho:",A la igualdad en el acceso electrónico a los servicios de las Administraciones Públicas.,A obtener copias electrónicas de los documentos electrónicos que formen parte de procedimientos en los que tengan la condición de interesado.,A la calidad de los servicios públicos prestados por medios electrónicos.,A la preferencia en la tramitación de los procedimientos presentados electrónicamente.,D,BL,A.deGrado,PREPARATIC24,2016,AGE A1 2015,,,11817,7,,,,,,AGE A1 2015,,,11817
"Un procedimiento administrativo finalizará, según la Ley 39/2015, por:",Resolución.,Desistimiento o renuncia.,Caducidad.,Todas las anteriores.,D,BL,MGV,PREPARATIC24,2016,Ley 39/2015,,,,7,2016,Revisada,IGVR,,,,,,
"De acuerdo a la Ley 39/2015, los interesados en un procedimiento administrativo, tienen los siguientes derechos:",Conocer el estado de la tramitación de cualquier procedimiento.,Identificar a las autoridades y al personal al servicio de las Administraciones Públicas bajo cuya responsabilidad se tramiten los procedimientos.,"No presentar documentos originales, en ningún caso.","No presentar datos y documentos no exigidos por las normas aplicables al procedimiento de que se trate, que ya se encuentren en poder del Sector Público o que hayan sido elaborado por éste.",B,BL,MGV,PREPARATIC24,2016,Ley 39/2015,,,,7,2016,Revisada,IGVR,,,,,,
"Según la Ley 39/2015, la iniciación de un procedimiento administrativo puede realizarse:",De oficio.,A solicitud del interesado.,De oficio o a solicitud del interesado.,Por la Administración Pública responsable.,C,BL,MGV,PREPARATIC24,2016,Ley 39/2015,,,,7,2016,Revisada,IGVR,,,,,,
"De acuerdo a la Ley 39/2015, el formato del expediente administrativo será:",Siempre en formato electrónico.,Siempre en formato papel.,Las personas físicas podrán elegir en todo momento el formato del expediente administrativo.,La ley no regula el formato del expediente.,A,BL,MGV,PREPARATIC24,2016,Ley 39/2015,,,,7,2016,Revisada,IGVR,,,,,,
"Según la Ley 39/2015, un expediente administrativo contendrá:","Los documentos, pruebas, dictámenes, informes, acuerdos, notificaciones y demás diligencias necesarios,la identificación del personal al servicio de las Administración Pública bajo cuya responsabilidad se tramite el procedimiento, y una copia electrónica certificada de la resolución adoptada.","Los documentos, pruebas, dictámenes, informes, acuerdos, notificaciones y demás diligencias necesarios y un índice numerado de todos los documentos.","Los documentos, pruebas, dictámenes, informes, acuerdos, notificaciones y demás diligencias necesarios, un índice numerado de todos los documentos y una copia electrónica certificada de la resolución adoptada.","Los documentos, pruebas, dictámenes, informes, acuerdos, notificaciones y demás diligencias necesarios, un índice numerado de todos los documentos, la identificación del personal al servicio de las Administración Pública bajo cuya responsabilidad se tramite el procedimiento  y una copia electrónica certificada de la resolución adoptada.",C,BL,MGV,PREPARATIC24,2016,Ley 39/2015,,,,7,2016,Corregida,IGVR,,Una coma de más en la respuesta A,,,,
"Según el artículo 73 de la Ley 39/2015, el plazo para el el cumplimiento de trámites que deban ser cumplimentados por el interesado, es por defecto:",10 días.,15 días.,1 mes.,No se establece ningún plazo por defecto.,A,BL,MGV,PREPARATIC24,2016,Ley 39/2015,,,,7,2016,En revisión,IGVR,,,,,,
Señale la opción falsa respecto a la instrucción del procedimiento definida en la Ley 39/2015:,"Los interesados podrán, en cualquier momento del procedimiento anterior al trámite de audiencia, aducir alegaciones y aportar documentos u otros elementos de juicio.","El instructor del procedimiento sólo podrá rechazar las pruebas propuestas por los interesados cuando sean manifiestamente improcedentes o innecesarias, mediante resolución motivada.","Salvo disposición expresa en contrario, los informes serán preceptivos y vinculantes.",Se podrá prescindir del trámite de audiencia cuando no figuren en el procedimiento ni sean tenidos en cuenta en la resolución otros hechos ni otras alegaciones y pruebas que las aducidas por el interesado.,C,BL,MGV,PREPARATIC24,2016,Ley 39/2015,,,,7,2016,Revisada,IGVR,,,,,,
La Ley 39/2015 introduce un capítulo relativo a la tramitación simplificada del procedimiento administrativo común. Respecto a este trámite señale la opción incorrecta:,Se podrá acordar la tramitación simplificada por falta de complejidad del procedimiento y por razones de interés público.,"Los interesados podrán, en cualquier caso, solicitar la tramitación simplificada del procedimiento.","En general, los procedimientos administrativos tramitados de manera simplificada deberán ser resueltos en treinta días.","Constarán únicamente de los siguientes trámites: inicio, subsanación (en su caso), alegaciones y trámite de audiencia.",D,BL,MGV,PREPARATIC24,2016,Ley 39/2015,,,,7,2016,Revisada,IGVR,,,,,,
"Respecto a la ejecución de la resolución de un procedimiento administrativo, señale la opción incorrecta:",Las Administraciones Públicas no iniciarán la ejecución hasta que se haya dictado resolución.,De una resolución administrativa nunca puede derivarse una multa.,La ejecución forzosa de una resolución puede afectar al patrimonio.,Contra algunas resoluciones es posible interponer recursos por vía administrativa.,B,BL,MGV,PREPARATIC24,2016,Ley 39/2015,,,,7,2016,Revisada,IGVR,,,,,,
La Ley 39/2015 tiene por objeto regular: (señala la incorrecta),Los requisitos de validez y eficacia de los actos administrativos,"El procedimiento administrativo común a todas las Administraciones Públicas, incluyendo el sancionador y el de reclamación de responsabilidad de las Administraciones Públicas",Las bases del régimen jurídico de las Administraciones Públicas,Los principios a los que se ha de ajustar el ejercicio de la iniciativa legislativa y la potestad reglamentaria,C,BL,LGD,PREPARATIC24,2016,Ley 39/2015,,,,7,,,,,,,CORREGIDA,,
"Cuando resulte eficaz, proporcionado y necesario para la consecución de los fines propios del procedimiento, y de manera motivada, podrán incluirse trámites adicionales o distintos a los contemplados en esta Ley:",solo mediante ley,reglamentariamente,mediante ley o reglamentariamente,ninguna es correcta,A,BL,LGD,PREPARATIC24,2016,Ley 39/2015,,,,7,,,,,,,,,
"Podrán establecerse especialidades del procedimiento referidas a los órganos competentes, plazos propios del concreto procedimiento por razón de la materia, formas de iniciación y terminación, publicación e informes a recabar:",solo mediante ley,reglamentariamente,mediante ley o reglamentariamente,ninguna es correcta,B,BL,LGD,PREPARATIC24,2016,Ley 39/2015,,,,7,,,,,,,,,
"La ley 39/2015 se aplica al sector público, que comprende (señala la incorrecta):",la Administración General del Estado y las Administraciones de las Comunidades Autónomas,las Entidades que integran la Administración Local,el sector público institucional,el sector privado corporativo,D,BL,LGD,PREPARATIC24,2016,Ley 39/2015,,,,7,,,,,,,CORREGIDA,,
Las entidades de derecho privado vinculadas o dependientes de las Administraciones Públicas:,quedarán sujetas a lo dispuesto en todas las normas de esta Ley,"quedarán sujetas a lo dispuesto en las normas de esta Ley que específicamente se refieran a las mismas, y en todo caso, cuando ejerzan potestades administrativas","no están sujetas a lo dispuesto en las normas de esta Ley, salvo cuando ejerzan potestades administrativas",no están sujetas a lo dispuesto en las normas de esta Ley,B,BL,LGD,PREPARATIC24,2016,Ley 39/2015,,,,7,,,,,,,,,
Las Universidades públicas:,se regirán únicamente por su normativa específica,se regirán por su normativa específica y supletoriamente por las previsiones de esta Ley,se regirán por las previsiones de esta Ley y supletoriamente por su normativa específica,se regirán únicamente por las previsiones de esta Ley,B,BL,LGD,PREPARATIC24,2016,Ley 39/2015,,,,7,,,,,,,,,
Tienen la consideración de Administraciones Públicas: (señala la incorrecta),la Administración General del Estado,las Administraciones de las Comunidades Autónomas,las Entidades que integran la Administración Local,los organismos públicos y entidades de derecho privado que integran el sector público institucional,D,BL,LGD,PREPARATIC24,2016,Ley 39/2015,,,,7,,,,,,,,,
Las Corporaciones de Derecho Público se regirán por:,"su normativa específica en el ejercicio de las funciones públicas que les hayan sido atribuidas por Ley o delegadas por una Administración Pública, y supletoriamente por la Ley 39/2015","la Ley 39/2015, y supletoriamente por su normativa específica en el ejercicio de las funciones públicas que les hayan sido atribuidas por Ley o delegadas por una Administración Pública","su normativa específica en el ejercicio de las funciones públicas que les hayan sido atribuidas por Ley o cedidas por una Administración Pública, y supletoriamente por la Ley 39/2015","la Ley 39/2015, y supletoriamente por su normativa específica en el ejercicio de las funciones públicas que les hayan sido atribuidas por Ley o cedidas por una Administración Pública",A,BL,LGD,PREPARATIC24,2016,Ley 39/2015,,,,7,,,,,,,CORREGIDA,,
"El título preliminar de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas tiene:",un artículo,dos artículos,tres artículos,cuatro artículos,B,BL,LGD,PREPARATIC24,2016,Ley 39/2015,,,,7,,,,,,,,,
