PREGUNTA,RESPUESTA_A,RESPUESTA_B,RESPUESTA_C,RESPUESTA_D,RESPUESTA_CORRECTA,BLOQUE,AUTOR,PROMOCION,ANNO_CREACION,OBSERVACIONES,NUMERO_TEST,NUMERO_PREGUNTA,ID,TEMAS,REVISADA,ESTADO,REVISOR,SENTENCIA,,EXAMEN
"De las siguientes opciones señalar cual forma parte del contenido mínimo que debe contener la norma que crea una sede electrónica, de acuerdo con el Real Decreto 1671/2009, de 6 de noviembre:",Relación de los servicios disponibles en la sede.,Medios disponibles para la formulación de sugerencias y quejas.,Mapa de navegación de la sede electrónica.,Carta de servicios electrónicos.,B,A2,A.deGrado,PREPARATIC24,2016,,,,,7,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"Un ciudadano tiene que iniciar varios procedimientos desde la misma sede electrónica, ¿en qué momento según el Real Decreto 1671/2009 tiene que otorgar consentimiento para que se puedan recabar los datos o documentos que ya obran en poder de las AAPP?",De forma específica e individualizada para cada procedimiento.,Una única vez al configurar su cuenta.,Una vez para todos los documentos o datos que estén en cada administración.,No es posible otorgar ese consentimiento y tiene que presentar el mismo todos los documentos.,A,A2,A.deGrado,PREPARATIC24,2016,,,,,7,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Señale cual de las siguientes respuestas NO corresponde a una Norma Técnica de Interoperabilidad según el Real Decreto 4/2010 (Esquema Nacional de Interoperabilidad) en su Disposición adicional primera:,Catalogo de estándares.,Requisitos de conexión a la Red de comunicaciones de las Administraciones públicas españolas.,Modelo de Datos para el intercambio de asientos entre las Entidades Registrales.,Protocolos de comunicación de red.,D,B1,A.deGrado,PREPARATIC24,2016,,,,,43,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"Indica cual de las siguientes NO es una ""dimensión de la seguridad"" a tener en cuenta para establecer la categoría del sistema, según lo especificado en el Anexo I del Esquema Nacional de Seguridad (Real Decreto 3/2010):",Disponibilidad (D).,Trazabilidad (T).,Autenticidad (A).,Conservación (C).,D,B1,A.deGrado,PREPARATIC24,2016,,,,,46,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"EI certificado de sede electrónica, según se establece en el Real Decreto 1671/2009:",Identifica la sede y permite la firma electrónica de documentos y tramites.,Identifica la sede y permite a firma electrónica de documentos.,"Identifica la sede, quedando excluida su aplicación para la firma electrónica de documentos y tramites,",Identifica la sede y permite la firma electrónica de trámites.,C,A2,A.deGrado,PREPARATIC24,2016,,,,,7,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Según se establece en el Esquema Nacional de Seguridad (ENS) señale cual NO es un principio básico en las decisiones en materia de seguridad:,Función diferenciada.,Enfoque de soluciones multilaterales.,Gestión de riesgos.,Líneas de defensa.,B,B1,A.deGrado,PREPARATIC24,2016,,,,,46,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"Según se establece en la Ley Orgánica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres, todo trato desfavorable a las mujeres relacionado con el embarazo o maternidad, constituye discriminación por razón de sexo del tipo:",Indirecta.,Directa.,"Directa, si concurre violencia física, e indirecta en el resto de casos.","Directa o indirecta, sequen decisión judicial, considerando las circunstancias que concurran.",B,A3,A.deGrado,PREPARATIC24,2016,,,,,14,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"De acuerdo con la Ley Orgánica 1/2004, de 28 de diciembre, de Medidas de Protección Integral contra la Violencia de Género, ,a quien corresponderá el asesoramiento, evaluación, colaboración institucional, elaboración de informes y estudios, y propuestas de actuación en materia de violencia de género?",Ala Delegación Especial del Gobierno contra la Violencia sobre la Mujer.,A las Fuerzas y Cuerpos de Seguridad del Estado.,AI Observatorio Estatal de Violencia sobre la Mujer.,"AI Ministerio de Justicia, que creara un órgano especifico para ello.",C,A3,A.deGrado,PREPARATIC24,2016,,,,,14,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"En los sistemas multiprocesador, los sistemas MIMD se caracterizan por:",Varias unidades funcionales realizan diferentes operaciones sobre diferentes datos.,Una única unidad funcional realiza varias operaciones sobre diferentes datos.,Varias unidades funcionales realizan operaciones similares sobre datos diferentes.,Una única unidad funcional realiza una única operación sobre diferentes datos.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,49,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"¿Qué ley establece que ""la mejora obtenida en el rendimiento de un sistema al utilizar algún modo de ejecuten más rápido está limitada por la fracción de tiempo que se pueda utilizar ese modo más rápido""?",Ley de Gustafson,Ley de Metcalfe,Ley de Amdahl,Ley de Machrone,C,B1,A.deGrado,PREPARATIC24,2016,,,,,39,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"Según el estándar del nuevo USB 3.1, ¿Cuál es su velocidad?",12 Gbps,8 Gbps,6 Gbps,10 Gbps,D,B2,A.deGrado,PREPARATIC24,2016,,,,,51,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"Señale, de los siguientes, el sistema de ejecución multi plataforma desarrollado por Adobe para crear aplicaciones RIA que se pueden ejecutar como aplicaciones de escritorio o de dispositivos móviles:",Android SDK,Mahout,InDesign,AIR,D,B2,A.deGrado,PREPARATIC24,2016,,,,,74,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Cuál de las siguientes unidades de magnitud en relación al almacenamiento de información es mayor?,Petta byte (PS),Terabyte (TS),Yottabyte (YS),Zettabyte (ZS),C,B2,A.deGrado,PREPARATIC24,2016,,,,,53,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Cuál de los siguientes nombres NO se corresponde con una version del sistema operativo Android?,Kit Kat.,Ice Cream Sandwich.,Donut.,Candy Marzipan.,D,B2,A.deGrado,PREPARATIC24,2016,,,,,59,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"De los siguientes comandos UNIX, indique el que permite mostrar el espacio libre disponible en el disco:",df,du,ps,wc,A,B2,A.deGrado,PREPARATIC24,2016,,,,,57,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"Para crear en Solaris 10 un enlace simbólico que se denomine ""soft_link"" a un archivo denominado ""test"" y que se encuentra en el mismo directorio que el enlace, ¿qué comando de los siguientes tenemos que ejecutar?:",In test soft_link,In -5 test soft_link,In soft_link test,In -5 soft_link test,B,B2,A.deGrado,PREPARATIC24,2016,,,,,57,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"En el contexto de los sistemas operativos, ¿qué es un Kernel Panic?",No existe tal terminología.,Es un error de los dispositivos de entrada/salida.,Es un error en el núcleo del sistema.,Es un tipo de error de memoria.,C,B2,A.deGrado,PREPARATIC24,2016,,,,,57,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"TinyOS, cuyo diseño está orientado a sistemas embebidos inalámbricos de baja potencia, está escrito en el lenguaje:",Java,Python,.Net,nesC,D,B2,A.deGrado,PREPARATIC24,2016,,,,,59,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"En UNIX, el atributo ""uid"" de un proceso:",Indica el identificador del usuario que ha lanzado el proceso.,Indica el grupo del usuario que ha lanzado el proceso.,Indica el identificador del proceso.,Indica la prioridad del proceso.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,57,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
La lIamada POSIX que permite al sistema operativo crear un proceso hijo a partir de un proceso padre es:,setpid,fork,trap,exec,B,B2,A.deGrado,PREPARATIC24,2016,,,,,57,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"En el sistema operativo Linux, ¿Cuál de las siguientes opciones busca la palabra ""Iibro"" dentro de ficheros?","find -type f I xwygs grep ""libro""","find -type f I xaygs grep ""libro""","find -type f I xargs grep ""libro""","find -type f I xargp grep ""libro""",C,B2,A.deGrado,PREPARATIC24,2016,,,,,57,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Con que directiva se declara una página maestra en ASP.Net?,Master,MasterPage,Master.Page,Page,A,B2,A.deGrado,PREPARATIC24,2016,,,,,63,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"Para desarrollar software en el sistema operativo Android, su propietario proporciona Android SDK y para desarrollar nativamente NDK, ¿qué lenguajes soportan cada uno?",Android SDK: ObjectiveC con Cocoa y NDK: desarrollo nativo en C/C++.,Android SDK: Java y NDK: ObjectiveC con GNUstep como API de facto.,Android SDK: Java con Java ME como API principal y NDK: ObjectiveC con GNUstep como API de facto.,Android SDK: Java con una API propia y NDK: desarrollo nativo en C/C++ ..,D,B2,A.deGrado,PREPARATIC24,2016,,,,,59,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Cuál de las siguientes afirmaciones es correcta en relación al protocolo FTP?,En el modo activo el puerto de datos del cliente es el 20.,"EI comando ""upload"" permite subir un fichero al servidor.","Entre los tipos de acceso, está el acceso anónimo, que permite conectarse sin necesidad de usuario y contraseña.","EI protocolo permite tres modos de conexión: activo, pasivo y bajo demanda.",C,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Ethernet realiza la difusión recibiendo tramas con la siguiente dirección MAC de destino:,00: 00: 00: 00: 00:FF,FF:FF:FF:FF:FF:FF,FF: 00: 00: 00: 00:FF,00:00:00:00:00:00,B,B4,A.deGrado,PREPARATIC24,2016,,,,,112,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
EI modelo de desarrollo RAD (Rapid Application Development) fue descrito inicialmente por:,Codd,Boehm,Chen,James Martin,D,B3,A.deGrado,PREPARATIC24,2016,,,,,82,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Los puntos de fijación (anchor points) son característicos en el modelo de desarrollo:,En cascada.,Basado en prototipos.,En espiral WINWIN.,RAD.,C,B3,A.deGrado,PREPARATIC24,2016,,,,,82,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"Según Métrica v3, los flujos que interconectan actividades en la técnica SADT (Structured Analysis and Design Technique) se pueden clasificar en 4 tipos, señale cuál de los siguientes flujos NO es correcto:",Control.,Transacción.,Mecanismo.,Entrada.,B,B3,A.deGrado,PREPARATIC24,2016,,,,,91,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"La finalidad principal de la Gestión de Proyectos según Métrica v3 es la planificación, el seguimiento y control de:",Las actividades y de los recursos humanos que intervienen en el desarrollo de un Sistema de Información (5.1).,Las actividades que intervienen en el desarrollo de un S.L,Las actividades y de los recursos humanos y materiales que intervienen en el desarrollo de un 5.1.,Los recursos humanos y materiales que intervienen en el desarrollo de un 5.1.,C,B3,A.deGrado,PREPARATIC24,2016,,,,,91,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"EI ""nivel de definición"" del modelo CMM (Capability Maturity Model) se caracteriza por:",Proceso poco documentado.,Proceso de desarrollo por definir.,Proceso de desarrollo integrado en la organización.,Control cuantitativo de productos.,C,B3,A.deGrado,PREPARATIC24,2016,,,,,93,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿a qué perfil de Métrica v3 pertenece el Responsable de Mantenimiento?,Jefe de Proyecto.,Consultor.,Analista.,Programador.,A,B3,A.deGrado,PREPARATIC24,2016,,,,,91,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"En Métrica v3, para la tarea ""GPI 1.1, Identificación de elementos a desarrollar"", el producto de salida específico en orientación a objeto es:",Catalogo de clases.,Catalogo de entidades.,Catalogo de miembros.,Catalogo de interfaces.,A,B3,A.deGrado,PREPARATIC24,2016,,,,,91,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Cuál de las siguientes palabras y acrónimos NO está relacionado con Metodologías Ágiles para el desarrollo de software:,SCRUM,XP,DSDM,AGILD,D,B3,A.deGrado,PREPARATIC24,2016,,,,,84,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"¿Qué prácticas, según Métrica v3, tienen como objetivo potenciar la participación activa de la alta dirección como medio para obtener los mejores resultados en el menor tiempo posible y con una mayor calidad de los productos?",Sesiones JAD.,Sesiones JRP.,Entrevistas.,Reuniones.,B,B3,A.deGrado,PREPARATIC24,2016,,,,,91,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"Señale de entre las siguientes, la norma que establece los requisitos para el diseño y desarrollo de la documentación del software de usuario como parte de los procesos del ciclo de vida:",ISO/IEC 26514.,ISO 7816.,ISO/IEC 12207.,ISO 8859.,A,B3,A.deGrado,PREPARATIC24,2016,,,,,82,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Cuál de los siguientes estándares regula los procesos de ciclo de vida del software?,ISO/IEC 12207:2008,ISO 9001:2008,ISO 29393:2009,ISO 31000:2009,A,B3,A.deGrado,PREPARATIC24,2016,,,,,82,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Señale cual de las siguientes es una técnica de desarrollo según Métrica v3:,Técnicas Matriciales.,Método Albrecht.,Análisis de Impacto.,Caminos de Acceso.,A,B3,A.deGrado,PREPARATIC24,2016,,,,,91,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Dentro del perfil analista de Métrica v3 se agrupa uno de los siguientes participantes:,Especialista en Comunicaciones.,Usuarios expertos.,Técnicos de Comunicaciones.,Grupo de Aseguramiento de la Calidad.,D,B3,A.deGrado,PREPARATIC24,2016,,,,,91,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Cuál de los siguientes contradice un principio de las metodologías agiles de desarrollo software (principios del Manifiesto Ágil)?,"Son bienvenidos los requisitos cambiantes, incluso si llegan en las etapas tardías del desarrollo.",Los responsables de negocio y los desarrolladores trabajan juntos de forma cotidiana durante todo el proyecto.,"EI software, en su fase de diseño, es la medida principal de progreso.","La simplicidad, o el arte de maximizar la cantidad de trabajo no realizado, es esencial.",C,B3,A.deGrado,PREPARATIC24,2016,,,,,84,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Escoja la ordenación correcta de las siguientes técnicas para la realización de prototipos de menor a mayor grado de fidelidad con el sistema final:,"Mockup, Sketch y WireFrame.","Sketch, Mockup y WireFrame.","Sketch, WireFrame y Mockup.","Mockup, Wireframe y Sketch.",C,B3,A.deGrado,PREPARATIC24,2016,,,,,90,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"Señale cual de las siguientes NO es un tipo de conexión válida entre un proceso y un almacén de datos de un DFD (diagrama de flujo de datos), según Métrica v3:",Flujo de consulta.,Flujo de actualización.,Flujo de dialogo.,Flujo de sincronización,D,B3,A.deGrado,PREPARATIC24,2016,,,,,91,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Cuál de los siguientes conceptos NO se puede representar a través de un diagrama de flujo de datos?,La persistencia.,Los procesos de transformación.,EI flujo de la información.,La herencia.,D,B3,A.deGrado,PREPARATIC24,2016,,,,,86,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Según Métrica v3 ¿es posible definir un evento (o interrupción) en un diagrama de flujo de datos?,"Sí, mediante un flujo de datos.","Sí, mediante un flujo de control.","Si, mediante un proceso iterativo.","No, no es posible. Los DFD únicamente representan como se transforma la información.",B,B3,A.deGrado,PREPARATIC24,2016,,,,,91,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"Dentro del diseño conceptual de datos, en una jerarquía de generalización se dice que un subconjunto (caso particular de generalización con una sola entidad como subentidad) siempre es una jerarquía:",Total y exclusiva.,Parcial y superpuesta.,Parcial y exclusiva.,Total y superpuesta.,C,B3,A.deGrado,PREPARATIC24,2016,,,,,85,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Cuál de los siguientes es un Sistema Gestor de Bases de Datos Orientado a Objetos?,Microsoft SQL Server.,Versant.,MariaDB.,MySQL.,B,B3,A.deGrado,PREPARATIC24,2016,,,,,85,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"En Métrica v3, en relación al modelo entidad/relación extendido, dentro de las relaciones débiles, ¿qué dos divisiones se distinguen?",Dependencia en existencia y dependencia en identificación.,Dependencia en composición y dependencia en identificación.,Dependencia en existencia y dependencia en discriminación.,Dependencia en composición y dependencia en discriminación.,A,B3,A.deGrado,PREPARATIC24,2016,,,,,91,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"EI termino anglosajón ""ACID"" relacionado con una transacción de base de datos se corresponde con las propiedades:","Authentication, Consistency, Integrity, Durability.","Atomicity, Confidentiality, Identification, Durability.","Atomicity, Consistency, Isolation, Durability.","Availability, Consistency, Isolation, Durability.",C,B2,A.deGrado,PREPARATIC24,2016,,,,,61,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"En relación con la concurrencia en bases de datos, el tamaño del elemento de datos adecuado para el bloqueo (granularidad) afecta al grado de concurrencia de forma que, a menor tamaño del elemento que es bloqueado:","Aumenta el grado de concurrencia, aumenta la carga de trabajo para la gestión de bloqueos y el espacio ocupado por la información de bloqueos.","Disminuye el grado de concurrencia, aumenta la carga de trabajo para la gestión de bloqueos y el espacio ocupado por la , información de bloqueos.","Disminuye el grado de concurrencia, disminuyendo la carga de trabajo para la gestión de bloqueos y el espacio ocupado por la información de bloqueos.","Aumenta el grado de concurrencia, disminuyendo la carga de trabajo para la gestión de bloqueos y el espacio ocupado por la información de bloqueos.",A,B2,A.deGrado,PREPARATIC24,2016,,,,,60,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
La instrucción que aborta la transacción en un SGBD y la hace terminar en forma no exitosa se denomina:,Undo.,Rollback.,Two Phase Commit.,Commit.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,60,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"AI problema en un SGBD en que dos transacciones paralelas intentan modificar el mismo objeto de la base de datos, leyendo ambas el valor antes de que la otra transacción lo actualice, se conoce como:",Lectura sucia.,Lectura fantasma.,Lectura no repetible.,Lectura comprometida.,C,B2,A.deGrado,PREPARATIC24,2016,,,,,60,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Cuál de los siguientes estándares regula el formato de documentos abiertos para aplicaciones de ofimática (OpenDocument)?,ISO/IEC 26300:2006,RFC 2373,ISO/IEC 9899:1999,ISO 9000,A,B2,A.deGrado,PREPARATIC24,2016,,,,,66,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Señale de entre las siguientes la técnica de integración NO incremental para pruebas de integración:,Top-down.,Sandwich.,Big-Bang.,Bottom-up.,C,B3,A.deGrado,PREPARATIC24,2016,,,,,92,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Señale de entre los siguientes cual NO es un framework de pruebas unitarias para Microsoft .NET:,xUnit,xUnit.net,NUnit,csUnit,A,B2,A.deGrado,PREPARATIC24,2016,,,,,63,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"Según el Real Decreto 1720/2007, ¿cuál de las siguientes declaraciones es correcta respecto a pruebas en sistemas con datos de carácter personal?",Queda terminantemente prohibida la realización de pruebas en los sistemas de información que traten datos reales en ficheros con datos de carácter personal.,No existen limitaciones para usar datos reales en ficheros de carácter personal si se utilizan para las pruebas anteriores a la implantación o modificación de los sistemas de información.,"Las pruebas anteriores a la implantación o modificación de los sistemas de información que traten ficheros con datos de carácter personal no se realizaran con datos reales, salvo que se asegure el nivel de seguridad correspondiente al tratamiento realizado y se anote su realización en el documento de seguridad.","Si para la validación de un sistema de información, es necesario realizar pruebas que traten ficheros con datos de carácter personal reales, se procederá posteriormente al borrado de dichos ficheros para cumplir la normativa legal vigente.",C,B1,A.deGrado,PREPARATIC24,2016,,,,,35,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"En Métrica v3, ¿quién lIeva a cabo las pruebas en la tarea IAS 6.2 ""realización de las pruebas de aceptación""?",Usuarios expertos.,Directores de los usuarios.,Equipo de calidad.,Equipo de implantación.,A,B3,A.deGrado,PREPARATIC24,2016,,,,,91,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Señale la respuesta INCORRECTA respecto a las características de la metodología de desarrollo software conocida como Proceso Unificado de Desarrollo Software:,Es Iterativo e Incremental.,Esta dirigido por los casos de uso.,Está enfocado en los riesgos.,Fue creado por Dennis Ritchie y Ken Thompson.,D,B3,A.deGrado,PREPARATIC24,2016,,,,,82,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Indique cual de los siguientes diagramas de descomposición NO se contempla como técnica en Métrica v3:,Funcional.,Organizativo.,Lógico.,En Diálogos.,C,B3,A.deGrado,PREPARATIC24,2016,,,,,91,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Throwable es la superclase de todos los errores y excepciones de lava SE 7. ¿A qué paquete de Java pertenece Throwable?,java. lang,java.error,java.util,"Throwable no es una clase, es un interface, y este pertenece al paquete java.io.",A,B2,A.deGrado,PREPARATIC24,2016,,,,,64,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Señale la afirmación CORRECTA con respecto a un bean de sesión en JavaEE 7:,Una aplicación requerirá normalmente menos beans de sesion stateless que stateful para respaldar al mismo número de clientes.,Los stateful permiten compartir estado entre varios clientes.,"Un bean de sesión singleton es instanciado varias veces, sequen necesidad, pero va a existir una copia (el singleton) todo el ciclo de vida de la aplicación.",Los stateful están respaldados por una base de datos y pueden implementar un servicio web.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,64,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Señale cual de las siguientes opciones se ajusta a la siguiente definición: plataforma basada en lava que permite crear rich internet applications (RIA) que se comportan de la misma forma en distintas plataformas:,Flex,JavaFX,AJAX,Silverlight,B,B2,A.deGrado,PREPARATIC24,2016,,,,,74,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Cuál de los siguientes productos lava dispone de un motor de workflow?,Hibernate.,Easy BPM.,Spring.,jBPM.,D,B2,A.deGrado,PREPARATIC24,2016,,,,,64,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Qué significa CDI en el contexto de Java EE 7?,Contexts and Dependency Injection.,Common Display Interface.,Context-Dependent Interface.,Case-Driven Implementation.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,64,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
EI Entity Framework es:,Un framework ORM (object-relational mapper) desarrollado por Microsoft e integrado en la plataforma .NET.,Una utilidad que permite identificar las funcionalidades de un sistema informático.,Una herramienta de planificación y gestión del software desarrollado por Microsoft.,Un framework orientado a la realización de aplicaciones web implementado por Microsoft que respecta el modelo vista controlador.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,63,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Elija la respuesta correcta:,La JavaServer Pages Standard Tag Library (JSTL) es una colección de bibliotecas de etiquetas con utilidades ampliamente utilizadas en el desarrollo de páginas web.,Apache Struts es un framework de desarrollo bajo el modelo vista controlador que sirve para crear Aplicaciones web con Smalltalk.,EI Unified Expression Language (EL) integra los JSP con los servlets.,Los Applets y las Java Server Pages (JSPs) son dos métodos de creación de páginas web dinámicas en servidor usando el lenguaje Java.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,64,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Qué significan las siglas MVC en el contexto de ASP.NET?,Model View Controlar.,Multiple Views canvas.,Mobile Video Compatible.,Mobile View Connector.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,63,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Qué es el Marco Común de Evaluación (CAF) 2013?,"CAF ofrece dos sistemas de puntuación, el clásico y el refinado, solo el primero de ellos está fundamentado sobre el Ciclo de Deming.",Es uno del los ejes del modelo EFQM.,"Es una herramienta de gestión de la calidad total, desarrollada por y para el sector público.",Es una autoevaluación que debe realizar una organización conforme a lo que dicta la norma ISO 9000.,C,B3,A.deGrado,PREPARATIC24,2016,,,,,98,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"¿Cuál de las siguientes pautas está asociada al principio ""comprensible"" de la WCAG 2.0?",Alternativas textuales.,Distinguible.,Predecible.,Compatible.,C,B1,A.deGrado,PREPARATIC24,2016,,,,,42,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Indique cual de los siguientes es un framework software de Apache que soporta aplicaciones distribuidas que trabajan con miles de nodos y volúmenes de datos del orden de petabytes:,Joost,Netflix,Cassandra,Hadoop,D,B2,A.deGrado,PREPARATIC24,2016,,,,,73,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Cuál de las siguientes NO es una palabra reservada de MDX (MultiDimensional eXpressions) en SQL Server 2012?,SELECT,DRILL,CUBE,MEMBER,B,B2,A.deGrado,PREPARATIC24,2016,,,,,60,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"Los ETL son herramientas utilizadas habitualmente en .la minería de datos. ¿En qué consisten dichas, herramientas?",Son bases de datos multidimensionales que permiten tener la información correctamente estructurada siguiendo multitud de criterios o dimensiones.,Son herramientas que realizan informes destinados a la alta dirección de la organización.,Son aplicaciones que permiten el acceso a la base de datos a través de paginas HTML.,"Son herramientas que permiten extraer información de diversos orígenes, realizar modificaciones en dicha información y cargarla en un sistema destino.",D,B2,A.deGrado,PREPARATIC24,2016,,,,,72,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Existen distintos tipos de algoritmos que se aplican en DataMining. ¿a qué categoría pertenece el algoritmo de Bayes Naive?,Algoritmos de clasificación.,Algoritmos de regresión.,Algoritmos de segmentación.,Algoritmos de asociación.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,72,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"¿Qué es el ""Data staging Area"" en el contexto de los Data Warehouses?","Es un almacén previo de datos y sus procesos asociados, en el que se extra en los datos de las fuentes, se transforman y se adaptan antes de ser cargados en el almacén de datos.","Durante la fase de diseño de un almacén de datos, es la base de datos no permanente usada para ensayar, demostrar y estudiar el rendimiento de los diseños propuestos.","Es el área del almacén (conceptual o físicamente separada en otra base de datos) donde se cachean las consultas preparadas, cuando estos no pueden ejecutarse en tiempo real.","Es una copia idéntica de las bases de datos originales, cuando en ellas existe mucha carga y no es posible bloquearlas para asegurar la integridad referencial al copiar los datos.",A,B2,A.deGrado,PREPARATIC24,2016,,,,,72,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"En relación con los servicios web y SOAP, las siglas MTOM se corresponden con:",Mail Transmission Optimization Mechanism.,Message Transmission Optimization Mechanism.,Message Transport Optimization Module.,Mail Transport Optimization Module.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,55,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"Cuando se habla de las pruebas de regresión en el contexto de la calidad del software, ¿qué tipo de fallo (bug) es un fallo de regresión?",EI que parece arreglarse espontáneamente y que posteriormente no es posible determinar el origen del mismo.,"Todos aquellos que son de tipo lógico y que edemas consistan bien en un bucle infinito, bien en una lIamada recursiva infinita.","Todos aquellos derivados de problemas de concurrencia entre diferentes hilos accediendo a un mismo recurso: condiciones de carrera, deadlocks, etc.","Aquel que inicialmente no existe o no se manifiesta, pero que aparece al introducir otros cambios en el programa o arreglar otro fallo en el, o tras ocurrir un evento externo dado.",D,B3,A.deGrado,PREPARATIC24,2016,,,,,92,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Cuál de las siguientes NO es una palabra reservada en Java?,switch,break,continue,Then,D,B2,A.deGrado,PREPARATIC24,2016,,,,,64,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
RMAN es:,Una especificación de monitorización remota de IETF.,Una invocación de métodos remotos utilizada en Java.,Una herramienta de Oracle que permite hacer backups online de bases de datos.,Una herramienta de IBM que permite realizar administración remota de bases de datos.,C,B4,A.deGrado,PREPARATIC24,2016,,,,,114,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Qué muestra el comando top en UNIX?,Los ficheros abiertos.,EI escritorio.,Los procesos.,Los puertos TCP/IP.,C,B2,A.deGrado,PREPARATIC24,2016,,,,,57,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
